instance_name;beta;h;max_time;seed;ML_used;makespan;makespan_bb
t_j100_m20.txt;0.4;1.5;180;12345;5;6587;6883.069999999999
t_j100_m20.txt;0.4;1.5;180;435451;4;6443;6676.355000000001
t_j100_m20.txt;0.4;1.5;180;435451;5;6572;6749.535
t_j100_m20.txt;0.4;1.5;180;56162;4;6428;6688.009999999998
t_j100_m20.txt;0.4;1.5;180;56162;5;6567;6794.43
t_j100_m20.txt;0.4;1.5;180;68813;4;6412;6621.335000000002
t_j100_m20.txt;0.4;1.5;180;68813;5;6560;6754.08
t_j200_m10.txt;0.4;1.5;180;12345;4;10885;11253.255000000001
t_j200_m10.txt;0.4;1.5;180;12345;5;10944;11270.535
t_j200_m10.txt;0.4;1.5;180;435451;4;10892;11183.925000000001
t_j200_m10.txt;0.4;1.5;180;435451;5;10942;11221.03
t_j200_m10.txt;0.4;1.5;180;56162;4;10920;11262.76
t_j200_m10.txt;0.4;1.5;180;56162;5;10950;11271.159999999998
t_j200_m10.txt;0.4;1.5;180;68813;4;10897;11245.96
t_j200_m10.txt;0.4;1.5;180;68813;5;10983;11300.960000000001
t_j200_m20.txt;0.4;1.5;180;12345;4;11539;11901.504999999997
t_j200_m20.txt;0.4;1.5;180;12345;5;11712;12039.165
t_j200_m20.txt;0.4;1.5;180;435451;4;11496;11860.19
t_j200_m20.txt;0.4;1.5;180;435451;5;11644;12014.554999999997
t_j200_m20.txt;0.4;1.5;180;56162;4;11523;11895.970000000007
t_j200_m20.txt;0.4;1.5;180;56162;5;11603;12009.179999999998
t_j200_m20.txt;0.4;1.5;180;68813;4;11578;11971.439999999999
t_j200_m20.txt;0.4;1.5;180;68813;5;11658;11946.800000000005
t_j500_m20.txt;0.4;1.5;180;12345;4;26496;27264.395000000004
t_j500_m20.txt;0.4;1.5;180;12345;5;26608;27365.304999999986
t_j500_m20.txt;0.4;1.5;180;435451;4;26712;27392.080000000005
t_j500_m20.txt;0.4;1.5;180;435451;5;26813;27518.724999999988
t_j500_m20.txt;0.4;1.5;180;56162;4;26613;27285.945
t_j500_m20.txt;0.4;1.5;180;56162;5;26696;27365.095000000005
t_j500_m20.txt;0.4;1.5;180;68813;4;26597;27431.430000000008
t_j500_m20.txt;0.4;1.5;180;68813;5;26740;27565.05000000001
t_j20_m5.txt;0.4;1.5;60;12345;6;1297;1308.595
t_j20_m5.txt;0.4;1.5;60;12345;7;1297;1308.595
t_j20_m5.txt;0.4;1.5;60;12345;8;1297;1312.5700000000002
t_j20_m5.txt;0.4;1.5;60;435451;6;1297;1310.695
t_j20_m5.txt;0.4;1.5;60;435451;7;1297;1310.695
t_j20_m5.txt;0.4;1.5;60;435451;8;1297;1310.695
t_j20_m5.txt;0.4;1.5;60;56162;6;1297;1312.42
t_j20_m5.txt;0.4;1.5;60;56162;7;1297;1312.42
t_j20_m5.txt;0.4;1.5;60;56162;8;1297;1312.42
t_j20_m5.txt;0.4;1.5;60;68813;6;1298;1307.245
t_j20_m5.txt;0.4;1.5;60;68813;7;1298;1307.245
t_j20_m5.txt;0.4;1.5;60;68813;8;1298;1307.245
t_j20_m10.txt;0.4;1.5;60;12345;6;1591;1636.735
t_j20_m10.txt;0.4;1.5;60;12345;7;1591;1636.735
t_j20_m10.txt;0.4;1.5;60;12345;8;1591;1636.735
t_j20_m10.txt;0.4;1.5;60;435451;6;1608;1634.8749999999998
t_j20_m10.txt;0.4;1.5;60;435451;7;1608;1634.8749999999998
t_j20_m10.txt;0.4;1.5;60;435451;8;1608;1634.8749999999998
t_j20_m10.txt;0.4;1.5;60;56162;6;1591;1636.735
t_j20_m10.txt;0.4;1.5;60;56162;7;1591;1636.735
t_j20_m10.txt;0.4;1.5;60;56162;8;1591;1636.735
t_j20_m10.txt;0.4;1.5;60;68813;6;1610;1635.63
t_j20_m10.txt;0.4;1.5;60;68813;7;1610;1635.63
t_j20_m10.txt;0.4;1.5;60;68813;8;1610;1635.63
t_j20_m20.txt;0.4;1.5;60;12345;6;2343;2365.845
t_j20_m20.txt;0.4;1.5;60;12345;7;2343;2365.845
t_j20_m20.txt;0.4;1.5;60;12345;8;2343;2365.845
t_j20_m20.txt;0.4;1.5;60;435451;6;2345;2362.955
t_j20_m20.txt;0.4;1.5;60;435451;7;2345;2362.955
t_j20_m20.txt;0.4;1.5;60;435451;8;2345;2362.955
t_j20_m20.txt;0.4;1.5;60;56162;6;2348;2379.52
t_j20_m20.txt;0.4;1.5;60;56162;7;2348;2379.52
t_j20_m20.txt;0.4;1.5;60;56162;8;2348;2379.52
t_j20_m20.txt;0.4;1.5;60;68813;6;2367;2378.63
t_j20_m20.txt;0.4;1.5;60;68813;7;2372;2382.905
t_j20_m20.txt;0.4;1.5;60;68813;8;2372;2382.905
t_j50_m5.txt;0.4;1.5;60;12345;6;2731;2755.665
t_j50_m5.txt;0.4;1.5;60;12345;7;2731;2755.665
t_j50_m5.txt;0.4;1.5;60;12345;8;2731;2748.99
t_j50_m5.txt;0.4;1.5;60;435451;6;2729;2752.14
t_j50_m5.txt;0.4;1.5;60;435451;7;2729;2752.14
t_j50_m5.txt;0.4;1.5;60;435451;8;2729;2752.14
t_j50_m5.txt;0.4;1.5;60;56162;6;2729;2746.175
t_j50_m5.txt;0.4;1.5;60;56162;7;2729;2746.175
t_j50_m5.txt;0.4;1.5;60;56162;8;2729;2746.175
t_j50_m5.txt;0.4;1.5;60;68813;6;2729;2749.815
t_j50_m5.txt;0.4;1.5;60;68813;7;2729;2749.815
t_j50_m5.txt;0.4;1.5;60;68813;8;2729;2749.815
t_j50_m10.txt;0.4;1.5;60;12345;6;3126;3157.1549999999997
t_j50_m10.txt;0.4;1.5;60;12345;7;3126;3157.1549999999997
t_j50_m10.txt;0.4;1.5;60;12345;8;3126;3157.1549999999997
t_j50_m10.txt;0.4;1.5;60;435451;6;3130;3163.7000000000003
t_j50_m10.txt;0.4;1.5;60;435451;7;3130;3163.7000000000003
t_j50_m10.txt;0.4;1.5;60;435451;8;3130;3163.7000000000003
t_j50_m10.txt;0.4;1.5;60;56162;6;3095;3157.28
t_j50_m10.txt;0.4;1.5;60;56162;7;3095;3152.4049999999997
t_j50_m10.txt;0.4;1.5;60;56162;8;3116;3166.3549999999996
t_j50_m10.txt;0.4;1.5;60;68813;6;3089;3131.3
t_j50_m10.txt;0.4;1.5;60;68813;7;3089;3131.3
t_j50_m10.txt;0.4;1.5;60;68813;8;3086;3131.2700000000004
t_j50_m20.txt;0.4;1.5;60;12345;6;4008;4090.6349999999993
t_j50_m20.txt;0.4;1.5;60;12345;7;4008;4090.6349999999993
t_j50_m20.txt;0.4;1.5;60;12345;8;4010;4069.6799999999994
t_j50_m20.txt;0.4;1.5;60;435451;6;4031;4086.475
t_j50_m20.txt;0.4;1.5;60;435451;7;4046;4086.475
t_j50_m20.txt;0.4;1.5;60;435451;8;4031;4076.9249999999997
t_j50_m20.txt;0.4;1.5;60;56162;6;4048;4087.7950000000005
t_j50_m20.txt;0.4;1.5;60;56162;7;4048;4087.7950000000005
t_j50_m20.txt;0.4;1.5;60;56162;8;4048;4087.7950000000005
t_j50_m20.txt;0.4;1.5;60;68813;6;4024;4093.4100000000003
t_j50_m20.txt;0.4;1.5;60;68813;7;4024;4093.4100000000003
t_j50_m20.txt;0.4;1.5;60;68813;8;4020;4086.8100000000004
t_j100_m5.txt;0.4;1.5;180;12345;6;5505;5602.089999999999
t_j100_m5.txt;0.4;1.5;180;12345;7;5505;5602.089999999999
t_j100_m5.txt;0.4;1.5;180;12345;8;5505;5602.089999999999
t_j100_m5.txt;0.4;1.5;180;435451;6;5514;5607.975
t_j100_m5.txt;0.4;1.5;180;435451;7;5514;5607.975
t_j100_m5.txt;0.4;1.5;180;435451;8;5514;5607.975
t_j100_m5.txt;0.4;1.5;180;56162;6;5503;5592.4000000000015
t_j100_m5.txt;0.4;1.5;180;56162;7;5503;5592.4000000000015
t_j100_m5.txt;0.4;1.5;180;56162;8;5503;5588.725
t_j100_m5.txt;0.4;1.5;180;68813;6;5520;5596.825000000001
t_j100_m5.txt;0.4;1.5;180;68813;7;5520;5596.825000000001
t_j100_m5.txt;0.4;1.5;180;68813;8;5520;5589.400000000001
t_j100_m10.txt;0.4;1.5;180;12345;6;5857;5939.469999999999
t_j100_m10.txt;0.4;1.5;180;12345;7;5857;5939.469999999999
t_j100_m10.txt;0.4;1.5;180;12345;8;5850;5919.645
t_j100_m10.txt;0.4;1.5;180;435451;6;5833;5935.905
t_j100_m10.txt;0.4;1.5;180;435451;7;5833;5935.905
t_j100_m10.txt;0.4;1.5;180;435451;8;5833;5928.58
t_j100_m10.txt;0.4;1.5;180;56162;6;5836;5919.875
t_j100_m10.txt;0.4;1.5;180;56162;7;5836;5919.875
t_j100_m10.txt;0.4;1.5;180;56162;8;5835;5912.635
t_j100_m10.txt;0.4;1.5;180;68813;6;5854;5934.345
t_j100_m10.txt;0.4;1.5;180;68813;7;5854;5929.62
t_j100_m10.txt;0.4;1.5;180;68813;8;5854;5921.77
t_j100_m20.txt;0.4;1.5;180;12345;6;6569;6677.419999999999
t_j100_m20.txt;0.4;1.5;180;12345;7;6573;6673.775000000001
t_j100_m20.txt;0.4;1.5;180;12345;8;6543;6653.5
t_j100_m20.txt;0.4;1.5;180;435451;6;6553;6650.41
t_j100_m20.txt;0.4;1.5;180;435451;7;6553;6650.41
t_j100_m20.txt;0.4;1.5;180;435451;8;6546;6624.3499999999985
t_j100_m20.txt;0.4;1.5;180;56162;6;6572;6661.580000000001
t_j100_m20.txt;0.4;1.5;180;56162;7;6572;6661.580000000001
t_j100_m20.txt;0.4;1.5;180;56162;8;6540;6623.055
t_j100_m20.txt;0.4;1.5;180;68813;6;6558;6656.715000000001
t_j100_m20.txt;0.4;1.5;180;68813;7;6558;6656.715000000001
t_j100_m20.txt;0.4;1.5;180;68813;8;6550;6654.794999999999
t_j200_m10.txt;0.4;1.5;180;12345;6;11000;11199.784999999996
t_j200_m10.txt;0.4;1.5;180;12345;7;11000;11199.784999999996
t_j200_m10.txt;0.4;1.5;180;12345;8;10997;11194.984999999995
t_j200_m10.txt;0.4;1.5;180;435451;6;11014;11206.935000000003
t_j200_m10.txt;0.4;1.5;180;435451;7;11014;11206.935000000003
t_j200_m10.txt;0.4;1.5;180;435451;8;11014;11206.935000000003
t_j200_m10.txt;0.4;1.5;180;56162;6;10992;11200.56
t_j200_m10.txt;0.4;1.5;180;56162;7;10992;11200.56
t_j200_m10.txt;0.4;1.5;180;56162;8;10992;11221.935000000001
t_j200_m10.txt;0.4;1.5;180;68813;6;11005;11214.609999999999
t_j200_m10.txt;0.4;1.5;180;68813;7;11005;11214.609999999999
t_j200_m10.txt;0.4;1.5;180;68813;8;11005;11212.059999999998
t_j200_m20.txt;0.4;1.5;180;12345;6;11604;11816.19
t_j200_m20.txt;0.4;1.5;180;12345;7;11604;11816.19
t_j200_m20.txt;0.4;1.5;180;12345;8;11585;11780.745000000003
t_j200_m20.txt;0.4;1.5;180;435451;6;11607;11787.954999999998
t_j200_m20.txt;0.4;1.5;180;435451;7;11607;11787.954999999998
t_j200_m20.txt;0.4;1.5;180;435451;8;11607;11787.954999999998
t_j200_m20.txt;0.4;1.5;180;56162;6;11666;11822.435000000003
t_j200_m20.txt;0.4;1.5;180;56162;7;11666;11822.435000000003
t_j200_m20.txt;0.4;1.5;180;56162;8;11649;11793.420000000004
t_j200_m20.txt;0.4;1.5;180;68813;6;11609;11823.645000000006
t_j200_m20.txt;0.4;1.5;180;68813;7;11609;11823.645000000006
t_j200_m20.txt;0.4;1.5;180;68813;8;11586;11798.400000000005
t_j500_m20.txt;0.4;1.5;180;12345;6;26791;27232.464999999993
t_j500_m20.txt;0.4;1.5;180;12345;7;26791;27232.464999999993
t_j500_m20.txt;0.4;1.5;180;12345;8;26728;27174.659999999996
t_j500_m20.txt;0.4;1.5;180;435451;6;26718;27213.239999999994
t_j500_m20.txt;0.4;1.5;180;435451;7;26718;27213.239999999994
t_j500_m20.txt;0.4;1.5;180;435451;8;26687;27159.004999999994
t_j500_m20.txt;0.4;1.5;180;56162;6;26868;27335.759999999995
t_j500_m20.txt;0.4;1.5;180;56162;7;26868;27335.759999999995
t_j500_m20.txt;0.4;1.5;180;56162;8;26787;27249.51
t_j500_m20.txt;0.4;1.5;180;68813;6;26862;27314.100000000013
t_j500_m20.txt;0.4;1.5;180;68813;7;26856;27312.57000000001
t_j500_m20.txt;0.4;1.5;180;68813;8;26797;27247.110000000004
